scheme,k,silhouette
meta+kmeans,5,0.072
meta+kmeans,8,0.0881
meta+kmeans,10,0.0963
meta+kmeans,15,0.0956
meta+kmeans,20,0.1073
meta+kmeans,25,0.1096
meta+kmeans,30,0.1143
meta+kmeans,40,0.12
meta+kmeans,50,0.1172
meta+gmm,5,0.0522
meta+gmm,8,0.0729
meta+gmm,10,0.0754
meta+gmm,15,0.0919
meta+gmm,20,0.1011
meta+gmm,25,0.0865
meta+gmm,30,0.0974
meta+gmm,40,0.0987
meta+gmm,50,0.102
combined+kmeans,5,0.1111
combined+kmeans,8,0.1501
combined+kmeans,10,0.1506
combined+kmeans,15,0.2027
combined+kmeans,20,0.2284
combined+kmeans,25,0.2413
combined+kmeans,30,0.2593
combined+kmeans,40,0.2747
combined+kmeans,50,0.2855
combined+gmm,5,0.0479
combined+gmm,8,0.0968
combined+gmm,10,0.1216
combined+gmm,15,0.1537
combined+gmm,20,0.1692
combined+gmm,25,0.1915
combined+gmm,30,0.1963
combined+gmm,40,0.1828
combined+gmm,50,0.195
